Fecha,Area_Sanitaria,Personas_Infectadas 
2020-04-14,"A.S. OURENSE, VERÍN E O BARCO","15"
2020-04-14,"A.S. PONTEVEDRA E O SALNÉS","5"
2020-04-14,"A.S. SANTIAGO E BARBANZA","28"
2020-04-14,"A.S. VIGO","10"
2020-04-14,"GALICIA","98"
2020-04-15,"A.S. A CORUÑA E CEE","80"
2020-04-15,"A.S. FERROL","9"
2020-04-15,"A.S. LUGO, A MARIÑA E MONFORTE","6"
2020-04-15,"A.S. OURENSE, VERÍN E O BARCO","23"
2020-04-15,"A.S. PONTEVEDRA E O SALNÉS","10"
2020-04-15,"A.S. SANTIAGO E BARBANZA","18"
2020-04-15,"A.S. VIGO","24"
2020-04-15,"GALICIA","170"
2020-04-16,"A.S. A CORUÑA E CEE","41"
2020-04-16,"A.S. FERROL","5"
2020-04-16,"A.S. LUGO, A MARIÑA E MONFORTE","2"
2020-04-16,"A.S. OURENSE, VERÍN E O BARCO","28"
2020-04-16,"A.S. PONTEVEDRA E O SALNÉS","4"
2020-04-16,"A.S. SANTIAGO E BARBANZA","24"
2020-04-16,"A.S. VIGO","19"
2020-04-16,"GALICIA","123"
2020-04-17,"A.S. A CORUÑA E CEE","15"
2020-04-17,"A.S. FERROL","2"
2020-04-17,"A.S. LUGO, A MARIÑA E MONFORTE","5"
2020-04-17,"A.S. OURENSE, VERÍN E O BARCO","17"
2020-04-17,"A.S. PONTEVEDRA E O SALNÉS","6"
2020-04-17,"A.S. SANTIAGO E BARBANZA","12"
2020-04-17,"A.S. VIGO","14"
2020-04-17,"GALICIA","71"
2020-04-18,"A.S. A CORUÑA E CEE","26"
2020-04-18,"A.S. FERROL","1"
2020-04-18,"A.S. LUGO, A MARIÑA E MONFORTE","1"
2020-04-18,"A.S. OURENSE, VERÍN E O BARCO","30"
2020-04-18,"A.S. PONTEVEDRA E O SALNÉS","1"
2020-04-18,"A.S. SANTIAGO E BARBANZA","8"
2020-04-18,"A.S. VIGO","43"
2020-04-18,"GALICIA","110"
2020-04-19,"A.S. A CORUÑA E CEE","19"
2020-04-19,"A.S. FERROL","5"
2020-04-19,"A.S. LUGO, A MARIÑA E MONFORTE","13"
2020-04-19,"A.S. OURENSE, VERÍN E O BARCO","11"
2020-04-19,"A.S. PONTEVEDRA E O SALNÉS","5"
2020-04-19,"A.S. SANTIAGO E BARBANZA","25"
2020-04-19,"A.S. VIGO","28"
2020-04-19,"GALICIA","106"
2020-04-20,"A.S. A CORUÑA E CEE","15"
2020-04-20,"A.S. FERROL","6"
2020-04-20,"A.S. LUGO, A MARIÑA E MONFORTE","2"
2020-04-20,"A.S. OURENSE, VERÍN E O BARCO","8"
2020-04-20,"A.S. SANTIAGO E BARBANZA","12"
2020-04-20,"A.S. VIGO","22"
