Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-06-04 18:00:00,"GALICIA","127.300","101","1.945","122.954","71","13","2.274.739","976.752","2.426","542.858"
2021-06-05 18:00:00,"A.S. A CORUÑA E CEE","30.491","21","333","29.579","13","2","508.069","150.129","593","180.561"
2021-06-05 18:00:00,"A.S. FERROL","8.640","2","96","8.321","8","1","145.652","60.923","217","15.170"
2021-06-05 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","12.960","15","240","12.499","6","2","249.390","134.114","216","39.641"
2021-06-05 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.773","11","158","15.198","7","0","258.356","130.197","418","70.309"
2021-06-05 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.321","6","212","13.928","13","2","239.239","91.420","181","78.517"
2021-06-05 18:00:00,"A.S. SANTIAGO E BARBANZA","20.041","11","324","19.366","15","3","363.848","144.136","364","93.290"
2021-06-05 18:00:00,"A.S. VIGO","25.143","8","488","24.226","7","5","513.770","266.347","437","66.893"
2021-06-05 18:00:00,"GALICIA","127.369","74","1.851","123.117","69","15","2.278.324","977.266","2.426","544.381"
2021-06-06 18:00:00,"A.S. A CORUÑA E CEE","30.508","17","324","29.605","12","2","508.930","150.131","593","180.756"
2021-06-06 18:00:00,"A.S. FERROL","8.642","2","89","8.330","8","1","145.812","60.923","217","15.201"
2021-06-06 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","12.967","7","224","12.522","6","2","249.635","134.114","216","39.738"
2021-06-06 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.782","11","161","15.204","7","0","258.785","130.197","418","70.494"
2021-06-06 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.327","8","193","13.953","13","2","239.839","91.420","181","78.866"
2021-06-06 18:00:00,"A.S. SANTIAGO E BARBANZA","20.047","6","295","19.401","15","3","364.327","144.136","364","93.608"
2021-06-06 18:00:00,"A.S. VIGO","25.150","7","448","24.273","7","5","514.153","266.347","437","67.048"
2021-06-06 18:00:00,"GALICIA","127.423","58","1.734","123.288","68","15","2.281.481","977.268","2.426","545.711"
2021-06-07 18:00:00,"A.S. A CORUÑA E CEE","30.536","28","335","29.622","12","1","510.041","150.157","593","181.113"
2021-06-07 18:00:00,"A.S. FERROL","8.649","8","95","8.331","8","1","145.980","60.929","217","15.282"
2021-06-07 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","12.974","6","208","12.545","6","2","250.105","134.125","216","39.964"
2021-06-07 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.790","8","163","15.210","7","1","259.153","130.215","418","70.816"
2021-06-07 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.333","6","193","13.959","14","1","240.092","91.429","181","79.322"
2021-06-07 18:00:00,"A.S. SANTIAGO E BARBANZA","20.053","6","283","19.418","12","3","364.730","144.165","365","93.961"
2021-06-07 18:00:00,"A.S. VIGO","25.170","21","452","24.289","6","5","514.637","266.349","437","67.380"
2021-06-07 18:00:00,"GALICIA","127.505","83","1.729","123.374","65","14","2.284.738","977.369","2.427","547.838"
