"fecha","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max"
"2020-11-22","Carnota",3957,NA,1,9,NA,25.2716704574172,227.445034116755
"2020-11-22","A Pastoriza",3002,NA,1,9,NA,33.311125916056,299.800133244504
"2020-11-22","Monterrei",2529,NA,1,9,NA,39.5413206801107,355.871886120996
"2020-11-22","Vila de Cruces",5246,19,NA,NA,362.180709111704,NA,NA
"2020-11-22","Porqueira",815,NA,1,9,NA,122.699386503067,1104.29447852761
"2020-11-22","Mañón",1356,NA,NA,NA,NA,NA,NA
"2020-11-22","Oroso",7500,23,NA,NA,306.666666666667,NA,NA
"2020-11-22","Pontedeva",511,NA,NA,NA,NA,NA,NA
"2020-11-22","Bóveda",1481,NA,1,9,NA,67.5219446320054,607.697501688049
"2020-11-22","Montederramo",711,NA,NA,NA,NA,NA,NA
"2020-11-22","Fene",12944,32,NA,NA,247.218788627936,NA,NA
"2020-11-22","Cabana de Bergantiños",4248,62,NA,NA,1459.51035781544,NA,NA
"2020-11-22","A Gudiña",1254,NA,1,9,NA,79.7448165869219,717.703349282297
"2020-11-22","Cabanas",3281,NA,1,9,NA,30.4785126485827,274.306613837245
"2020-11-22","Vimianzo",7057,41,NA,NA,580.983420717019,NA,NA
"2020-11-22","Santiago de Compostela",97260,159,NA,NA,163.479333744602,NA,NA
"2020-11-22","A Guarda",9977,36,NA,NA,360.829908790217,NA,NA
"2020-11-22","Coristanco",6074,83,NA,NA,1366.48007902535,NA,NA
"2020-11-22","Punxín",693,NA,1,9,NA,144.300144300144,1298.7012987013
"2020-11-22","A Estrada",20479,66,NA,NA,322.281361394599,NA,NA
"2020-11-22","Tomiño",13499,45,NA,NA,333.358026520483,NA,NA
"2020-11-22","Neda",5079,12,NA,NA,236.266981689309,NA,NA
"2020-11-22","Vilalba",14072,189,NA,NA,1343.09266628766,NA,NA
"2020-11-22","Muras",642,NA,NA,NA,NA,NA,NA
"2020-11-22","Mondoñedo",3568,NA,1,9,NA,28.0269058295964,252.242152466368
"2020-11-22","Sober",2312,NA,NA,NA,NA,NA,NA
"2020-11-22","A Veiga",889,NA,1,9,NA,112.485939257593,1012.37345331834
"2020-11-22","As Pontes de García Rodríguez",10138,18,NA,NA,177.549812586309,NA,NA
"2020-11-22","Vilasantar",1213,NA,1,9,NA,82.4402308326463,741.962077493817
"2020-11-22","Ribeira",26886,85,NA,NA,316.1496689727,NA,NA
"2020-11-22","Guitiriz",5484,NA,1,9,NA,18.2348650619985,164.113785557987
"2020-11-22","Carballeda de Valdeorras",1545,NA,NA,NA,NA,NA,NA
"2020-11-22","Redondela",29218,121,NA,NA,414.128277089465,NA,NA
"2020-11-22","Quiroga",3207,NA,1,9,NA,31.1817898347365,280.636108512629
"2020-11-22","A Pontenova",2264,NA,1,9,NA,44.1696113074205,397.526501766784
"2020-11-22","O Pereiro de Aguiar",6275,13,NA,NA,207.171314741036,NA,NA
"2020-11-22","Narón",39080,136,NA,NA,348.004094165814,NA,NA
"2020-11-22","Amoeiro",2280,NA,1,9,NA,43.859649122807,394.736842105263
"2020-11-22","A Lama",2445,24,NA,NA,981.59509202454,NA,NA
"2020-11-22","Baleira",1241,NA,NA,NA,NA,NA,NA
"2020-11-22","Santiso",1584,NA,1,9,NA,63.1313131313131,568.181818181818
"2020-11-22","Salceda de Caselas",9164,38,NA,NA,414.666084679179,NA,NA
"2020-11-22","Trabada",1118,NA,1,9,NA,89.4454382826476,805.008944543828
"2020-11-22","O Vicedo",1675,NA,NA,NA,NA,NA,NA
"2020-11-22","Petín",861,NA,1,9,NA,116.144018583043,1045.29616724739
"2020-11-22","Cervantes",1338,NA,NA,NA,NA,NA,NA
"2020-11-22","Ponteareas",22877,88,NA,NA,384.665821567513,NA,NA
"2020-11-22","Culleredo",30402,71,NA,NA,233.537267285047,NA,NA
"2020-11-22","Chandrexa de Queixa",456,NA,NA,NA,NA,NA,NA
"2020-11-22","Porto do Son",9171,30,NA,NA,327.118089630357,NA,NA
"2020-11-22","Sandiás",1206,NA,1,9,NA,82.9187396351576,746.268656716418
"2020-11-22","Larouco",429,NA,NA,NA,NA,NA,NA
"2020-11-22","Vilariño de Conso",519,NA,NA,NA,NA,NA,NA
"2020-11-22","Mesía",2530,NA,1,9,NA,39.5256916996047,355.731225296443
"2020-11-22","O Saviñao",3735,NA,1,9,NA,26.7737617135208,240.963855421687
"2020-11-22","Manzaneda",870,NA,NA,NA,NA,NA,NA
"2020-11-22","Marín",24319,73,NA,NA,300.176816480941,NA,NA
"2020-11-22","Leiro",1568,NA,1,9,NA,63.7755102040816,573.979591836735
"2020-11-22","Aranga",1849,NA,1,9,NA,54.0832882639264,486.749594375338
"2020-11-22","Vilaboa",5874,20,NA,NA,340.483486550902,NA,NA
"2020-11-22","Ourense",105233,203,NA,NA,192.905267359098,NA,NA
"2020-11-22","Entrimo",1140,NA,1,9,NA,87.719298245614,789.473684210526
"2020-11-22","Baralla",2556,NA,1,9,NA,39.1236306729264,352.112676056338
"2020-11-22","O Grove",10650,45,NA,NA,422.535211267606,NA,NA
"2020-11-22","Noia",14263,22,NA,NA,154.245249947416,NA,NA
"2020-11-22","Zas",4472,14,NA,NA,313.059033989267,NA,NA
"2020-11-22","Beariz",971,17,NA,NA,1750.77239958805,NA,NA
"2020-11-22","Dodro",2768,15,NA,NA,541.907514450867,NA,NA
"2020-11-22","Castrelo de Miño",1349,NA,1,9,NA,74.1289844329133,667.160859896219
"2020-11-22","Cerceda",5001,34,NA,NA,679.864027194561,NA,NA
"2020-11-22","Cualedro",1679,NA,1,9,NA,59.5592614651578,536.03335318642
"2020-11-22","Monfero",1932,11,NA,NA,569.35817805383,NA,NA
"2020-11-22","Xunqueira de Espadanedo",745,NA,NA,NA,NA,NA,NA
"2020-11-22","Antas de Ulla",1976,NA,1,9,NA,50.6072874493927,455.465587044534
"2020-11-22","Nogueira de Ramuín",1998,NA,1,9,NA,50.05005005005,450.45045045045
"2020-11-22","Sarreaus",1162,NA,1,9,NA,86.0585197934596,774.526678141136
"2020-11-22","Sanxenxo",17347,73,NA,NA,420.822044157491,NA,NA
"2020-11-22","Pedrafita do Cebreiro",1001,NA,NA,NA,NA,NA,NA
"2020-11-22","O Valadouro",1991,NA,1,9,NA,50.2260170768458,452.034153691612
"2020-11-22","Crecente",2012,NA,1,9,NA,49.7017892644135,447.316103379722
"2020-11-22","Láncara",2605,11,NA,NA,422.264875239923,NA,NA
"2020-11-22","Viana do Bolo",2886,NA,1,9,NA,34.6500346500346,311.850311850312
"2020-11-22","Lobios",1708,NA,1,9,NA,58.5480093676815,526.932084309133
"2020-11-22","Riós",1516,NA,NA,NA,NA,NA,NA
"2020-11-22","Vilar de Santos",820,NA,NA,NA,NA,NA,NA
"2020-11-22","Mazaricos",3885,10,NA,NA,257.400257400257,NA,NA
"2020-11-22","Cesuras",5101,NA,1,9,NA,19.60399921584,176.43599294256
"2020-11-22","Cedeira",6640,10,NA,NA,150.602409638554,NA,NA
"2020-11-22","Melide",7406,11,NA,NA,148.528220361869,NA,NA
"2020-11-22","Alfoz",1688,NA,1,9,NA,59.2417061611374,533.175355450237
"2020-11-22","Fisterra",4708,NA,1,9,NA,21.2404418011895,191.163976210705
