"Fecha","area_sanitaria","Concello","positivos","aulas_cerradas","centro_cerrado","Nome","Código","Enderezo","Provincia","Cód..postal","Teléfono","Tipo.de.centro","COORDENADA_X","COORDENADA_Y","TITULARIDADE","ENSINO_CONCERTADO","DEPENDENTE"
"2020-09-19","Coruña","A CORUÑA",1,"1","no","CEIP Alborada",15019323,"Rúa San José de Calasanz 5 A","A Coruña",15008,"881961192","CEIP",43.344715,-8.411252,"Pública","Non","Si"
"2020-09-22","Coruña","A CORUÑA",1,"2","no","CEIP Alborada",15019323,"Rúa San José de Calasanz 5 A","A Coruña",15008,"881961192","CEIP",43.344715,-8.411252,"Pública","Non","Si"
"2020-09-23","Coruña","A CORUÑA",1,"0","no","CEIP Alborada",15019323,"Rúa San José de Calasanz 5 A","A Coruña",15008,"881961192","CEIP",43.344715,-8.411252,"Pública","Non","Si"
"2020-09-19","Santiago","RIANXO",1,"0","no","CEIP Alfonso D. Rodríguez Castelao",15014180,"Rúa Rosalia Castro 12","A Coruña",15920,"881866861","CEIP",42.652733,-8.816982,"Pública","Non","Si"
"2020-09-22","Santiago","RIANXO",2,"0","no","CEIP Alfonso D. Rodríguez Castelao",15014180,"Rúa Rosalia Castro 12","A Coruña",15920,"881866861","CEIP",42.652733,-8.816982,"Pública","Non","Si"
"2020-09-23","Santiago","RIANXO",2,"0","no","CEIP Alfonso D. Rodríguez Castelao",15014180,"Rúa Rosalia Castro 12","A Coruña",15920,"881866861","CEIP",42.652733,-8.816982,"Pública","Non","Si"
"2020-09-22","Vigo","VIGO",1,"0","no","CEIP Alfonso D. Rodríguez Castelao",36010460,"Rúa Pedra Seixa 35","Pontevedra",36212,"886120253","CEIP",42.209255,-8.76085,"Pública","Non","Si"
"2020-09-23","Pontevedra","BARRO",1,"0","no","CEIP Amor Ruibal",36000181,"Perdecanai (Santa María)","Pontevedra",36194,"886151996","CEIP",42.52386,-8.637228,"Pública","Non","Si"
"2020-09-19","Lugo","LUGO",3,"0","no","CEIP As Gándaras",27006292,"Rúa VIRXE DA SOIDADE s/n","Lugo",27003,"982870504","CEIP",43.02687,-7.55142,"Pública","Non","Si"
"2020-09-22","Lugo","LUGO",3,"0","no","CEIP As Gándaras",27006292,"Rúa VIRXE DA SOIDADE s/n","Lugo",27003,"982870504","CEIP",43.02687,-7.55142,"Pública","Non","Si"
"2020-09-23","Lugo","LUGO",3,"0","no","CEIP As Gándaras",27006292,"Rúa VIRXE DA SOIDADE s/n","Lugo",27003,"982870504","CEIP",43.02687,-7.55142,"Pública","Non","Si"
"2020-09-23","Ourense","OURENSE",1,"0","no","CEIP As Mercedes",32009165,"Praza das Mercedes","Ourense",32005,"988685030","CEIP",42.337856,-7.8623915,"Pública","Non","Si"
"2020-09-23","Lugo","LUGO",1,"0","no","CEIP Benigno Quiroga Ballesteros",27006395,"Rúa Bolaño Rivadeneira s/n","Lugo",27001,"982828190","CEIP",43.01338,-7.558646,"Pública","Non","Si"
"2020-09-23","Vigo","NIGRÁN",1,"1","no","CEIP Carlos Casares",36005956,"Rúa PP Franciscanos, 40 (As Tomadas)","Pontevedra",36379,"886110382","CEIP",42.117825,-8.792302,"Pública","Non","Si"
"2020-09-19","Santiago","ARZÚA",1,"1","no","CEIP de Arzúa",15000612,"Rúa Baltasar Pardal s/n","A Coruña",15810,"981500291","CEIP",42.929714,-8.15723,"Pública","Non","Si"
"2020-09-22","Santiago","ARZÚA",1,"1","no","CEIP de Arzúa",15000612,"Rúa Baltasar Pardal s/n","A Coruña",15810,"981500291","CEIP",42.929714,-8.15723,"Pública","Non","Si"
"2020-09-23","Santiago","ARZÚA",1,"1","no","CEIP de Arzúa",15000612,"Rúa Baltasar Pardal s/n","A Coruña",15810,"981500291","CEIP",42.929714,-8.15723,"Pública","Non","Si"
"2020-09-19","Pontevedra","PONTEVEDRA",1,"0","no","CEIP de Cabanas",36018690,"Lugar Cabanas 72","Pontevedra",36143,"886151583","CEIP",42.409595,-8.644572,"Pública","Non","Si"
"2020-09-22","Pontevedra","PONTEVEDRA",1,"0","no","CEIP de Cabanas",36018690,"Lugar Cabanas 72","Pontevedra",36143,"886151583","CEIP",42.409595,-8.644572,"Pública","Non","Si"
"2020-09-23","Pontevedra","PONTEVEDRA",1,"0","no","CEIP de Cabanas",36018690,"Lugar Cabanas 72","Pontevedra",36143,"886151583","CEIP",42.409595,-8.644572,"Pública","Non","Si"
"2020-09-22","Vigo","BAIONA",1,"0","no","CEIP de Fontes-Baíña",36014921,"As Fontes","Pontevedra",36308,"886151081","CEIP",42.1063,-8.858984,"Pública","Non","Si"
"2020-09-19","Pontevedra","PONTEVEDRA",1,"0","no","CEIP de Marcón",36019608,"Rúa Pazos 37","Pontevedra",36158,"886151594","CEIP",42.411297,-8.620218,"Pública","Non","Si"
"2020-09-22","Pontevedra","PONTEVEDRA",1,"0","no","CEIP de Marcón",36019608,"Rúa Pazos 37","Pontevedra",36158,"886151594","CEIP",42.411297,-8.620218,"Pública","Non","Si"
"2020-09-23","Pontevedra","PONTEVEDRA",1,"0","no","CEIP de Marcón",36019608,"Rúa Pazos 37","Pontevedra",36158,"886151594","CEIP",42.411297,-8.620218,"Pública","Non","Si"
"2020-09-22","Pontevedra","SANXENXO",1,"0","no","CEIP de Noalla-Telleiro",36015846,"Carreira A Lanzada s/n","Pontevedra",36990,"886151654","CEIP",42.437458,-8.869507,"Pública","Non","Si"
"2020-09-23","Pontevedra","SANXENXO",1,"0","no","CEIP de Noalla-Telleiro",36015846,"Carreira A Lanzada s/n","Pontevedra",36990,"886151654","CEIP",42.437458,-8.869507,"Pública","Non","Si"
"2020-09-23","Ferrol","NARÓN",1,"0","no","CEIP de Piñeiros",15019499,"Estrada de Castela (Piñeiros) s/n","A Coruña",15570,"881930378","CEIP",43.51235,-8.176961,"Pública","Non","Si"
"2020-09-22","Ourense","MELÓN",1,"0","no","CEIP de Quins",32016261,"Lugar Quins","Ourense",32411,"988481090","CEIP",42.2841,-8.193349,"Pública","Non","Si"
